year,region,post_rural_vitalization,agri_loan_balance,agri_loan_growth_rate,grain_yield_per_ha,per_capita_agri_output,agri_machinery_power_per_1000ha,forest_cover_rate,fertilizer_use_intensity,sanitary_toilet_rate,cultural_spending_share,township_culture_stations_per_10k,avg_education_years_rural,urban_rural_governance_index,village_governance_participation_rate,rural_disposable_income_per_capita,rural_engel_coefficient,cars_per_100_households,industry_score,ecology_score,culture_score,governance_score,affluence_score,rural_vitalization_index
2018,青海,1,944.35,0.06325365639460911,7.305,1.488,354.59,63.77,0.683,77.08,11.537,1.486,7.225,50.87,78.15,18346.68,36.23,30.6,50.85283178451333,55.26768970852823,34.690886486079734,44.053362817093536,67.17532561489521,46.298237710518144
2019,青海,1,974.37,0.031789061259067,7.559,1.637,348.89,63.75,0.667,78.57,11.358,1.569,7.33,53.67,77.58,18858.98,35.22,36.59,55.3019731060402,57.68768210080837,37.685061557214745,46.65119890014524,79.27182723020486,54.18736150089703
2020,青海,1,1022.5,0.04939601999240528,7.775,1.681,338.83,66.71,0.68,81.09,11.88,1.648,7.353,55.27,81.85,19352.08,33.84,35.27,57.2588479038601,62.01318526315806,43.41875183611479,53.359728492413716,82.95327302532249,60.98132940886311
2021,青海,1,1098.08,0.07391687041564787,7.441,1.591,386.11,68.09,0.64,84.97,11.997,1.532,7.451,53.42,82.46,19751.33,32.9,35.6,57.25639976204976,69.66949602874953,42.8967840593713,51.90860399236881,87.25834968047198,64.18356765027154
2022,青海,1,1127.72,0.026992568847442833,7.689,1.543,375.3,65.89,0.654,86.07,11.588,1.756,7.469,57.23,83.56,20454.8,31.67,35.37,58.063815854897484,67.37459066639387,46.56998064120669,57.575561502307316,92.723460832725,68.17264959201536
2023,青海,1,1168.37,0.03604618167630247,8.047,1.665,409.41,67.73,0.632,89.97,12.803,1.65,7.516,59.2,85.49,21069.78,32.16,36.28,67.44476239410275,74.24253698774254,52.18624579422384,62.05306549036577,94.91334569420516,77.5028603812913
2013,黑龙江,0,465.27,0.0,5.07,0.953,181.47,26.56,0.633,62.55,11.645,1.484,7.713,62.53,70.79,17668.33,40.15,21.69,0.0,7.837712914446519,44.258387965390696,49.20339015023602,43.31539987908318,7.510004295311344
2014,黑龙江,0,482.96,0.03802093408128604,5.179,1.226,178.8,26.13,0.646,67.21,11.161,1.553,7.618,64.05,70.61,18376.35,39.66,20.85,5.106410284347273,10.54915147192153,41.325028196320076,50.76076839313279,46.13139504056023,11.07694479846542
2015,黑龙江,0,497.79,0.03070647672685123,5.617,1.26,226.26,24.64,0.632,69.48,11.389,1.685,7.754,66.37,72.11,18855.71,38.21,20.83,15.414829116557218,11.997668200152448,48.6987288926438,55.15520269482403,51.592609063716964,20.485107599093283
2016,黑龙江,0,519.22,0.043050282247534044,5.599,1.253,211.75,26.62,0.597,70.84,12.138,1.519,7.805,67.86,71.27,19635.54,38.32,24.85,13.5739324700756,17.710862247802996,49.92263327037569,55.9275680032262,59.31815975692983,24.545917901346847
2017,黑龙江,0,510.32,-0.017141096259774335,5.742,1.073,212.98,25.27,0.63,74.15,12.014,1.551,7.814,67.4,71.5,20140.65,36.78,23.19,12.48362112739466,16.87383166412347,50.15852680458828,55.65578087899829,63.02102519618592,24.991659815051083
2018,黑龙江,1,534.05,0.04650023514657464,5.993,1.168,206.13,27.44,0.613,76.21,12.177,1.531,7.879,69.04,75.35,21006.01,36.73,29.58,15.946376511927273,22.115956331167286,51.83674719834035,61.933255134383955,74.48494752770496,34.03598923108989
2019,黑龙江,1,595.66,0.11536372998782896,5.741,1.325,233.35,26.91,0.593,80.28,12.361,1.732,7.989,68.46,74.72,21350.72,35.37,28.28,18.513813713170396,26.55307262163661,60.27196260780882,60.544782321550926,77.58921226754906,39.00238338514836
2020,黑龙江,1,578.43,-0.028925897323976768,6.111,1.33,256.04,26.31,0.588,79.53,12.864,1.765,7.995,71.29,81.68,22400.73,35.34,27.69,25.01230113372394,25.635028862230687,64.36847332067363,71.73691491167823,80.81849152567057,46.821063741617934
2021,黑龙江,1,619.78,0.07148661030721093,6.185,1.307,241.06,27.26,0.597,83.12,12.904,1.725,8.131,71.8,81.86,22397.44,33.54,28.41,23.873913130596737,29.113745484018754,66.06084935243632,72.53271840197341,86.32061918905576,49.86730669481619
2022,黑龙江,1,657.17,0.06032785827229015,6.351,1.562,256.33,23.43,0.587,82.61,13.119,1.681,8.138,72.96,80.94,23337.12,32.78,30.32,31.22294866903018,25.439010411332625,66.3678798718444,72.83160897840706,94.1820361532476,54.268173190607015
2023,黑龙江,1,679.76,0.03437466713331405,6.514,1.469,273.86,29.31,0.57,87.14,12.981,1.979,8.101,75.02,83.31,23975.93,31.88,30.51,33.41745267142374,36.65793318810502,72.65597495305602,77.91359912049151,99.0973238520598,63.34566900104717
